P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART001	HART067	HART049	0.0735878	17.3756	2.3e-16	0.281384	51645.6	354348	305771
HART001	HART069	HART049	0.000243583	0.153627	0.877904	0.0001564	455134	55436	55409
HART001	ZZ3	HART049	0.0931595	19.8531	2.3e-16	0.322064	92381	326209	270610
HART001	ZZ7	HART049	0.103015	22.1438	2.3e-16	0.369312	80251	341328	277572
HART001	ZZ9	HART049	0.111492	22.569	2.3e-16	0.382909	95424.5	329502	263398
HART050	HART001	HART053	0.22265	34.1724	2.3e-16	0.239233	289685	157421	100087
HART050	HART001	HART063	0.0824566	14.7968	2.3e-16	0.0132867	533982	106660	90410.4
HART050	HART001	HART067	0.123039	23.2549	2.3e-16	0.0278799	485637	101891	79564.5
HART001	HART069	HART050	0.000358503	0.235783	0.813601	0.000161049	329706	59644.4	59601.6
HART050	HART001	ZZ3	0.174399	29.4308	2.3e-16	0.0532847	426668	118818	83528.7
HART050	HART001	ZZ7	0.187485	30.937	2.3e-16	0.0506946	443886	116944	80017
HART050	HART001	ZZ9	0.201155	32.4564	2.3e-16	0.0614886	421243	123648	82234.1
HART053	HART001	HART063	0.0756823	13.4821	2.3e-16	0.0165706	439560	144502	124169
HART001	HART067	HART053	0.0786254	17.2566	2.3e-16	0.284723	52682	356076	304165
HART001	HART069	HART053	0.000296426	0.18364	0.854296	0.000178254	457172	54836	54803.5
HART001	ZZ3	HART053	0.102274	21.7656	2.3e-16	0.335165	92609.5	329304	268196
HART001	ZZ7	HART053	0.115898	23.8351	2.3e-16	0.394163	79425.1	345969	274104
HART001	ZZ9	HART053	0.112742	22.1898	2.3e-16	0.365837	97129.1	329161	262460
HART063	HART067	HART001	0.0884639	12.414	2.3e-16	0.0624322	178105	268076	224501
HART001	HART069	HART063	0.000260514	0.147252	0.882933	1.69876e-05	736761	39355.5	39335
ZZ3	HART001	HART063	0.102141	15.6357	2.3e-16	0.0295538	317748	198276	161525
ZZ7	HART001	HART063	0.106577	15.8732	2.3e-16	0.0316774	305325	204946	165468
ZZ9	HART001	HART063	0.108241	16.4018	2.3e-16	0.0309138	326798	197071	158576
HART001	HART069	HART067	0.000248083	0.148508	0.881942	2.31224e-05	690120	36287.2	36269.2
HART067	ZZ3	HART001	0.492931	46.3541	2.3e-16	0.115981	567688	114933	39036.6
HART067	ZZ7	HART001	0.436696	40.3495	2.3e-16	0.0868054	593832	93440.8	36636.5
HART067	ZZ9	HART001	0.518165	48.2814	2.3e-16	0.131653	555106	126208	40055.8
HART001	HART069	ZZ3	0.000164997	0.0948227	0.924456	2.19304e-05	619615	41674.4	41660.6
HART001	HART069	ZZ7	0.000364359	0.224181	0.822616	4.22995e-05	637171	40153.6	40124.4
HART001	HART069	ZZ9	0.000193411	0.122067	0.902846	2.61029e-05	610346	42663.5	42647
ZZ7	ZZ3	HART001	0.123537	7.42379	1.13816e-13	0.0319491	587318	86819.2	67727
ZZ3	ZZ9	HART001	0.0559987	3.39046	0.000697756	0.0177275	553028	96694.1	86438.9
ZZ7	ZZ9	HART001	0.211085	11.5907	2.3e-16	0.0491104	602606	84189.5	54842
HART033	HART030	HART032	0.000396852	0.0508511	0.959444	0.000631281	139778	135520	135412
HART038	HART032	HART030	0.000983933	0.346652	0.728853	0.000675672	236848	71085.9	70946.1
HART046	HART030	HART032	0.314906	54.6248	2.3e-16	0.470205	75467.2	315395	164328
HART049	HART030	HART032	0.255857	43.4751	2.3e-16	0.403602	73293.4	282697	167508
HART032	HART030	HART050	0.00176814	0.265512	0.790615	0.00157473	190246	119191	118771
HART053	HART030	HART032	0.250112	41.6319	2.3e-16	0.398411	72919.1	281713	168988
HART030	HART032	HART063	0.0205814	3.70063	0.000215065	0.00264156	572412	79005.4	75818.9
HART030	HART032	HART067	0.107726	20.5219	2.3e-16	0.0196933	518820	78993.7	63629.5
HART030	HART069	HART032	0.0706004	8.37734	2.3e-16	0.0969109	161936	125070	108575
HART030	HART032	ZZ3	0.0339575	5.33277	9.6725e-08	0.00870448	457918	83406.4	77927.9
HART030	HART032	ZZ7	0.0637125	10.2394	2.3e-16	0.0141729	475015	82490.4	72608.6
HART030	HART032	ZZ9	0.0288279	4.33382	1.46542e-05	0.00740304	452070	84198.8	79480.3
HART030	HART033	HART038	0.00019011	0.024361	0.980565	0.000304078	139885	135539	135488
HART033	HART030	HART046	0.014342	2.1249	0.033595	0.0130103	356931	112745	109557
HART033	HART030	HART049	0.0138533	1.97026	0.0488085	0.0164808	325679	112018	108956
HART030	HART033	HART050	0.0160392	2.62014	0.00878929	0.0148302	196664	125308	121352
HART033	HART030	HART053	0.0195517	2.74376	0.00607404	0.0224222	326152	113100	108762
HART033	HART030	HART063	0.0225229	4.4659	7.97323e-06	0.00303479	584204	83353.1	79681.1
HART033	HART030	HART067	0.0186426	3.80875	0.000139669	0.00356371	535679	76230.9	73440.6
HART030	HART069	HART033	0.0045579	0.59187	0.553938	0.00705468	170859	122871	121756
HART030	HART033	ZZ3	0.00634164	1.00807	0.313422	0.00174976	470527	87379.9	86278.6
HART033	HART030	ZZ7	0.00601317	0.997937	0.31831	0.00142077	489647	82982.9	81990.9
HART030	HART033	ZZ9	0.016204	2.48837	0.0128329	0.00445185	462984	88974.4	86136.9
HART046	HART030	HART038	0.315032	54.7306	2.3e-16	0.471447	75661.5	315450	164310
HART049	HART030	HART038	0.255416	43.5197	2.3e-16	0.40432	73390.3	282654	167641
HART038	HART030	HART050	0.00127375	0.191824	0.84788	0.00113617	190179	119265	118961
HART053	HART030	HART038	0.25003	41.7081	2.3e-16	0.399472	73109.2	281764	169048
HART030	HART038	HART063	0.0200025	3.5739	0.000351707	0.00256942	572381	79027	75927.5
HART030	HART038	HART067	0.107725	20.472	2.3e-16	0.0197132	518745	79074.4	63694.6
HART030	HART069	HART038	0.0702519	8.35722	2.3e-16	0.0968889	162139	125056	108639
HART030	HART038	ZZ3	0.033794	5.31211	1.08363e-07	0.00867063	457864	83471	78013.8
HART030	HART038	ZZ7	0.063021	10.1299	2.3e-16	0.0140356	475015	82533.7	72747.7
HART030	HART038	ZZ9	0.0284637	4.27601	1.90274e-05	0.00731874	452060	84275.1	79610.4
HART030	HART046	HART049	0.0411098	7.76439	8.20394e-15	0.102724	188335	237626	218860
HART050	HART030	HART046	0.184765	30.3536	2.3e-16	0.164656	321727	152854	105178
HART030	HART046	HART053	0.0508483	9.87313	2.3e-16	0.123461	186786	241269	217920
HART063	HART030	HART046	0.0681323	6.997	2.6151e-12	0.166948	123289	379954	331482
HART067	HART030	HART046	0.0148306	2.14421	0.0320157	0.0369627	102355	317617	308334
HART030	HART069	HART046	0.0393356	5.35646	8.48679e-08	0.0310552	385010	99232.5	91721.2
ZZ3	HART030	HART046	0.0199471	2.98108	0.0028723	0.043831	143399	283462	272374
ZZ7	HART030	HART046	0.014817	2.16683	0.0302477	0.0340677	129649	292128	283597
