P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
HART030	HART069	HART049	0.0527902	6.75012	1.47726e-11	0.0551541	353158	100470	90394.1
ZZ3	HART049	HART030	0.476951	51.3291	2.3e-16	0.290766	329773	264124	93537.3
ZZ7	HART049	HART030	0.550488	64.2951	2.3e-16	0.316868	345609	271804	78800.4
ZZ9	HART049	HART030	0.462979	47.2635	2.3e-16	0.281705	333981	257828	94642
HART050	HART030	HART053	0.196078	30.4314	2.3e-16	0.210871	291878	154138	103601
HART050	HART030	HART063	0.0841069	15.4397	2.3e-16	0.0136646	533244	107705	90993.4
HART050	HART030	HART067	0.11261	21.7481	2.3e-16	0.0257445	485980	101845	81228.9
HART030	HART069	HART050	0.00652532	0.969078	0.332506	0.00511216	228231	105180	103816
HART050	HART030	ZZ3	0.161405	27.3031	2.3e-16	0.0496506	427239	118304	85421.3
HART050	HART030	ZZ7	0.158366	26.9616	2.3e-16	0.0428269	445445	114092	82896.1
HART050	HART030	ZZ9	0.176045	29.361	2.3e-16	0.0536767	422292	120757	84604.3
HART063	HART030	HART053	0.549678	134.373	2.3e-16	0.620022	147203	435002	126408
HART067	HART053	HART030	0.696406	157.345	2.3e-16	0.372266	358812	300103	53707.4
HART030	HART069	HART053	0.0359836	4.68549	2.79285e-06	0.0361115	353637	98311.3	91481.9
ZZ3	HART053	HART030	0.478773	51.5845	2.3e-16	0.291804	332290	264384	93188.2
ZZ7	HART053	HART030	0.555736	66.1947	2.3e-16	0.317868	349663	271001	77388.4
ZZ9	HART053	HART030	0.46157	47.7708	2.3e-16	0.282756	332829	259331	95535.4
HART063	HART030	HART067	0.197674	32.1957	2.3e-16	0.101632	225977	267380	179119
HART069	HART030	HART063	0.00319031	0.599688	0.548714	0.000366082	619410	69456.3	69014.5
HART063	HART030	ZZ3	0.320897	45.3855	2.3e-16	0.196392	199970	316573	162757
HART063	HART030	ZZ7	0.286018	41.1122	2.3e-16	0.161334	207348	301534	167408
HART063	HART030	ZZ9	0.337058	46.7798	2.3e-16	0.203616	199217	323221	160260
HART030	HART069	HART067	0.0135812	2.557	0.010558	0.00221489	571304	64481.6	62753.6
HART067	ZZ3	HART030	0.489116	46.0875	2.3e-16	0.113615	569635	114473	39273.2
HART067	ZZ7	HART030	0.412843	38.8207	2.3e-16	0.0797473	596440	90318.3	37535
HART067	ZZ9	HART030	0.502893	47.3394	2.3e-16	0.124796	557585	123425	40825
HART030	HART069	ZZ3	0.0166526	2.5336	0.0112897	0.00384582	504818	73887.4	71466.9
HART030	HART069	ZZ7	0.0410616	6.38385	1.72693e-10	0.00826165	523029	73021.9	67261.6
HART030	HART069	ZZ9	0.0353695	5.03733	4.72081e-07	0.00828084	497924	77251.2	71973.2
ZZ7	ZZ3	HART030	0.146155	8.85435	2.3e-16	0.0368028	590801	87895.9	65479.4
ZZ3	ZZ9	HART030	0.040766	2.47453	0.0133412	0.0126141	556063	94468	87067.5
ZZ7	ZZ9	HART030	0.217127	12.0476	2.3e-16	0.0489526	607249	83571	53754
HART032	HART038	HART033	0.00013232	0.042689	0.965949	0.000118463	238562	72712	72692.8
HART033	HART032	HART046	0.378509	76.7846	2.3e-16	0.375621	318578	167618	75569.2
HART033	HART032	HART049	0.398281	77.8888	2.3e-16	0.523709	285839	170758	73481.9
HART032	HART033	HART050	0.0178891	2.92483	0.00344649	0.0163817	191517	124526	120149
HART033	HART032	HART053	0.408786	79.8038	2.3e-16	0.519006	285632	173013	72607.1
HART033	HART032	HART063	0.0434427	9.00348	2.3e-16	0.00566831	575665	82366.4	75507.9
HART033	HART032	HART067	0.123855	26.3143	2.3e-16	0.0231868	522085	82366.5	64212
HART033	HART069	HART032	0.0609732	7.58392	3.35259e-14	0.097481	133329	144451	127848
HART033	HART032	ZZ3	0.0260715	4.41425	1.01361e-05	0.00696694	460540	86135.6	81758.3
HART033	HART032	ZZ7	0.0676382	11.5491	2.3e-16	0.0155735	478236	85818.5	74944.7
HART033	HART032	ZZ9	0.0110116	1.78385	0.0744478	0.00296432	454113	86349.1	84468.1
